FID_;DESA;KECAMATAN;KABUPATEN;PROPINSI;LUAS;MI_PRINX
;Gunungsari;Wonosegoro;Boyolali;Jawa Tengah;6.269.700.000.000.000;19.480.000.000.000.000.000
;Repaking;Wonosegoro;Boyolali;Jawa Tengah;8.956.600.000.000.000;19.481.000.000.000.000.000
;Krobokan;Juwangi;Boyolali;Jawa Tengah;13.061.800.000.000.000;19.482.000.000.000.000.000
;Ngaren;Juwangi;Boyolali;Jawa Tengah;11.374.599.999.999.900;19.483.000.000.000.000.000
;Kalimati;Juwangi;Boyolali;Jawa Tengah;14.838.600.000.000.000;19.484.000.000.000.000.000
;Sambeng;Juwangi;Boyolali;Jawa Tengah;10.719.300.000.000.000;19.485.000.000.000.000.000
;Cerme;Juwangi;Boyolali;Jawa Tengah;14.302.400.000.000.000;19.486.000.000.000.000.000
;Manjung;Sawit;Boyolali;Jawa Tengah;0.975800000000000;19.325.000.000.000.000.000
;Kateguhan;Sawit;Boyolali;Jawa Tengah;1.726.700.000.000.000;19.326.000.000.000.000.000
;Bendosari;Sawit;Boyolali;Jawa Tengah;2.530.200.000.000.000;19.327.000.000.000.000.000
;Jatirejo;Sawit;Boyolali;Jawa Tengah;1.565.700.000.000.000;19.328.000.000.000.000.000
;Kemasan;Sawit;Boyolali;Jawa Tengah;0.986900000000000;19.329.000.000.000.000.000
;Tlawong;Sawit;Boyolali;Jawa Tengah;0.642300000000000;19.330.000.000.000.000.000
;Jenengan;Sawit;Boyolali;Jawa Tengah;1.126.800.000.000.000;19.331.000.000.000.000.000
;Cepokosawit;Sawit;Boyolali;Jawa Tengah;1.695.400.000.000.000;19.332.000.000.000.000.000
;Guwokajen;Sawit;Boyolali;Jawa Tengah;1.039.100.000.000.000;19.333.000.000.000.000.000
;Karang Duren;Sawit;Boyolali;Jawa Tengah;2.720.900.000.000.000;19.334.000.000.000.000.000
;Dukuh;Banyudono;Boyolali;Jawa Tengah;1.187.000.000.000.000;19.335.000.000.000.000.000
;Jipangan;Banyudono;Boyolali;Jawa Tengah;1.839.800.000.000.000;19.336.000.000.000.000.000
;Jembungan;Banyudono;Boyolali;Jawa Tengah;2.449.200.000.000.000;19.337.000.000.000.000.000
;Juwangi;Juwangi;Boyolali;Jawa Tengah;13.217.900.000.000.000;19.487.000.000.000.000.000
;Pilangrejo;Juwangi;Boyolali;Jawa Tengah;4.083.200.000.000.000;19.488.000.000.000.000.000
;Jerukan;Juwangi;Boyolali;Jawa Tengah;13.998.400.000.000.000;19.489.000.000.000.000.000
;Kayen;Juwangi;Boyolali;Jawa Tengah;10.733.499.999.999.900;19.490.000.000.000.000.000
;Ngleses;Juwangi;Boyolali;Jawa Tengah;5.224.600.000.000.000;19.491.000.000.000.000.000
;Sambon;Banyudono;Boyolali;Jawa Tengah;3.238.800.000.000.000;19.338.000.000.000.000.000
;Kuwiran;Banyudono;Boyolali;Jawa Tengah;2.229.100.000.000.000;19.339.000.000.000.000.000
;Cangkringan;Banyudono;Boyolali;Jawa Tengah;1.096.600.000.000.000;19.340.000.000.000.000.000
